
  0%|          | 0/100 [00:00<?, ?it/s]
Loss score: 0.980 | Error score: 29.630%:  63%|██████▎   | 63/100 [05:34<03:19,  5.40s/it]
Loss score: 0.977 | Error score: 38.889%:  63%|██████▎   | 63/100 [05:39<03:19,  5.40s/it]
Loss score: 0.977 | Error score: 38.889%:  64%|██████▍   | 64/100 [05:39<03:11,  5.32s/it]
Loss score: 1.046 | Error score: 37.037%:  64%|██████▍   | 64/100 [05:44<03:11,  5.32s/it]
Loss score: 1.046 | Error score: 37.037%:  65%|██████▌   | 65/100 [05:44<03:04,  5.27s/it]
Loss score: 1.102 | Error score: 35.185%:  65%|██████▌   | 65/100 [05:49<03:04,  5.27s/it]
Loss score: 1.102 | Error score: 35.185%:  66%|██████▌   | 66/100 [05:49<02:59,  5.27s/it]
Loss score: 1.314 | Error score: 38.889%:  66%|██████▌   | 66/100 [05:55<02:59,  5.27s/it]
Loss score: 1.314 | Error score: 38.889%:  67%|██████▋   | 67/100 [05:55<02:53,  5.25s/it]
Loss score: 1.135 | Error score: 27.778%:  67%|██████▋   | 67/100 [06:00<02:53,  5.25s/it]
Loss score: 1.135 | Error score: 27.778%:  68%|██████▊   | 68/100 [06:00<02:48,  5.26s/it]
Loss score: 1.355 | Error score: 40.741%:  68%|██████▊   | 68/100 [06:05<02:48,  5.26s/it]
Loss score: 1.355 | Error score: 40.741%:  69%|██████▉   | 69/100 [06:05<02:43,  5.28s/it]
Loss score: 1.031 | Error score: 24.074%:  69%|██████▉   | 69/100 [06:11<02:43,  5.28s/it]
Loss score: 1.031 | Error score: 24.074%:  70%|███████   | 70/100 [06:11<02:39,  5.30s/it]
Loss score: 1.071 | Error score: 24.074%:  70%|███████   | 70/100 [06:16<02:39,  5.30s/it]
Loss score: 1.071 | Error score: 24.074%:  71%|███████   | 71/100 [06:16<02:34,  5.33s/it]
Loss score: 0.909 | Error score: 31.481%:  71%|███████   | 71/100 [06:21<02:34,  5.33s/it]
Loss score: 0.909 | Error score: 31.481%:  72%|███████▏  | 72/100 [06:21<02:28,  5.31s/it]
Loss score: 0.918 | Error score: 29.630%:  72%|███████▏  | 72/100 [06:26<02:28,  5.31s/it]
Loss score: 0.918 | Error score: 29.630%:  73%|███████▎  | 73/100 [06:27<02:22,  5.29s/it]
Loss score: 1.029 | Error score: 29.630%:  73%|███████▎  | 73/100 [06:32<02:22,  5.29s/it]
Loss score: 1.029 | Error score: 29.630%:  74%|███████▍  | 74/100 [06:32<02:17,  5.30s/it]
Loss score: 1.199 | Error score: 38.889%:  74%|███████▍  | 74/100 [06:37<02:17,  5.30s/it]
Loss score: 1.199 | Error score: 38.889%:  75%|███████▌  | 75/100 [06:37<02:12,  5.30s/it]
Loss score: 1.217 | Error score: 37.037%:  75%|███████▌  | 75/100 [06:42<02:12,  5.30s/it]
Loss score: 1.217 | Error score: 37.037%:  76%|███████▌  | 76/100 [06:42<02:07,  5.32s/it]
Loss score: 1.141 | Error score: 29.630%:  76%|███████▌  | 76/100 [06:48<02:07,  5.32s/it]
Loss score: 1.141 | Error score: 29.630%:  77%|███████▋  | 77/100 [06:48<02:01,  5.30s/it]
Loss score: 1.156 | Error score: 27.778%:  77%|███████▋  | 77/100 [06:53<02:01,  5.30s/it]
Loss score: 1.156 | Error score: 27.778%:  78%|███████▊  | 78/100 [06:53<01:56,  5.30s/it]
Loss score: 1.249 | Error score: 35.185%:  78%|███████▊  | 78/100 [06:58<01:56,  5.30s/it]
Loss score: 1.249 | Error score: 35.185%:  79%|███████▉  | 79/100 [06:58<01:51,  5.31s/it]
Loss score: 1.260 | Error score: 37.037%:  79%|███████▉  | 79/100 [07:04<01:51,  5.31s/it]
Loss score: 1.260 | Error score: 37.037%:  80%|████████  | 80/100 [07:04<01:45,  5.28s/it]
Loss score: 1.415 | Error score: 37.037%:  80%|████████  | 80/100 [07:09<01:45,  5.28s/it]
Loss score: 1.415 | Error score: 37.037%:  81%|████████  | 81/100 [07:09<01:40,  5.28s/it]
Loss score: 1.364 | Error score: 38.889%:  81%|████████  | 81/100 [07:14<01:40,  5.28s/it]
Loss score: 1.364 | Error score: 38.889%:  82%|████████▏ | 82/100 [07:14<01:34,  5.27s/it]
Loss score: 1.568 | Error score: 27.778%:  82%|████████▏ | 82/100 [07:19<01:34,  5.27s/it]
Loss score: 1.568 | Error score: 27.778%:  83%|████████▎ | 83/100 [07:19<01:29,  5.24s/it]
Loss score: 1.520 | Error score: 25.926%:  83%|████████▎ | 83/100 [07:24<01:29,  5.24s/it]
Loss score: 1.520 | Error score: 25.926%:  84%|████████▍ | 84/100 [07:25<01:23,  5.23s/it]
Loss score: 1.493 | Error score: 33.333%:  84%|████████▍ | 84/100 [07:30<01:23,  5.23s/it]
Loss score: 1.493 | Error score: 33.333%:  85%|████████▌ | 85/100 [07:30<01:18,  5.23s/it]
Loss score: 1.832 | Error score: 42.593%:  85%|████████▌ | 85/100 [07:35<01:18,  5.23s/it]
Loss score: 1.832 | Error score: 42.593%:  86%|████████▌ | 86/100 [07:35<01:13,  5.23s/it]
Loss score: 1.616 | Error score: 37.037%:  86%|████████▌ | 86/100 [07:40<01:13,  5.23s/it]
Loss score: 1.616 | Error score: 37.037%:  87%|████████▋ | 87/100 [07:40<01:08,  5.23s/it]
Loss score: 1.526 | Error score: 35.185%:  87%|████████▋ | 87/100 [07:45<01:08,  5.23s/it]
Loss score: 1.526 | Error score: 35.185%:  88%|████████▊ | 88/100 [07:45<01:02,  5.21s/it]
Loss score: 1.657 | Error score: 38.889%:  88%|████████▊ | 88/100 [07:50<01:02,  5.21s/it]
Loss score: 1.657 | Error score: 38.889%:  89%|████████▉ | 89/100 [07:51<00:57,  5.20s/it]
Loss score: 1.431 | Error score: 31.481%:  89%|████████▉ | 89/100 [07:56<00:57,  5.20s/it]
Loss score: 1.431 | Error score: 31.481%:  90%|█████████ | 90/100 [07:56<00:52,  5.23s/it]
Loss score: 1.520 | Error score: 40.741%:  90%|█████████ | 90/100 [08:01<00:52,  5.23s/it]
Loss score: 1.520 | Error score: 40.741%:  91%|█████████ | 91/100 [08:01<00:47,  5.23s/it]
Loss score: 1.678 | Error score: 42.593%:  91%|█████████ | 91/100 [08:06<00:47,  5.23s/it]
Loss score: 1.678 | Error score: 42.593%:  92%|█████████▏| 92/100 [08:06<00:41,  5.21s/it]
Loss score: 1.618 | Error score: 37.037%:  92%|█████████▏| 92/100 [08:12<00:41,  5.21s/it]
Loss score: 1.618 | Error score: 37.037%:  93%|█████████▎| 93/100 [08:12<00:36,  5.27s/it]
Loss score: 1.707 | Error score: 38.889%:  93%|█████████▎| 93/100 [08:17<00:36,  5.27s/it]
Loss score: 1.707 | Error score: 38.889%:  94%|█████████▍| 94/100 [08:17<00:31,  5.26s/it]
Loss score: 1.772 | Error score: 40.741%:  94%|█████████▍| 94/100 [08:22<00:31,  5.26s/it]
Loss score: 1.772 | Error score: 40.741%:  95%|█████████▌| 95/100 [08:22<00:26,  5.24s/it]
Loss score: 1.983 | Error score: 40.741%:  95%|█████████▌| 95/100 [08:27<00:26,  5.24s/it]
